"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"51",0,1.74247670676047,0.99,0.758,2.2250738585072e-308,"2","PFN1",536.077586101269
"52",1.93918051082787e-221,1.90306044938766,0.797,0.432,1.75088608322649e-217,"2","CTSW",412.501183046177
"53",4.45803474328242e-141,2.98216898260376,0.315,0.062,4.02515956970969e-137,"2","CD160",406.753585209281
"54",0,1.23333425820001,1,0.994,2.2250738585072e-308,"2","TMSB4X",379.438559738949
"55",0,1.18224149407532,0.999,0.936,2.2250738585072e-308,"2","HLA.B",363.719735175647
"56",5.43903647755063e-274,1.34473406513289,0.98,0.795,4.91090603558046e-270,"2","CD52",362.148769004909
"57",1.55274635879728e-213,1.51698995733138,0.901,0.664,1.40197468735807e-209,"2","TRAC",316.828297714212
"58",0,1.01707895067565,1,0.999,2.2250738585072e-308,"2","B2M",312.907040098277
"59",1.4294847994632e-155,2.04117632315376,0.648,0.304,1.29068182543533e-151,"2","CMC1",307.991423279971
"60",6.48894971652635e-149,1.8820039877624,0.64,0.286,5.85887269905164e-145,"2","GZMH",271.445549099367
"61",1.49492779085612e-165,1.50133312543757,0.82,0.511,1.34977030236399e-161,"2","NKG7",241.519069739855
"62",8.89041554906156e-213,1.12126627780982,0.957,0.747,8.02715619924768e-209,"2","CFL1",233.330397516223
"63",3.77673714669607e-222,1.05249156025546,0.998,0.91,3.41001596975188e-218,"2","ACTB",228.882438507462
"64",2.44665688742858e-125,1.88724934393999,0.549,0.238,2.20908650365927e-121,"2","HOPX",227.707555382295
"65",7.59811921766488e-193,1.1791246144808,0.916,0.706,6.86034184162962e-189,"2","CORO1A",221.868396269097
"66",3.46743922857363e-198,1.04938218905866,0.972,0.777,3.13075087947913e-194,"2","IL32",203.060019957637
"67",7.03174239402216e-160,1.3030600586121,0.874,0.607,6.34896020756261e-156,"2","CCL5",202.231399439812
"68",1.2602005246494e-205,1.00544457407,0.965,0.785,1.13783505370595e-201,"2","SERF2",202.037974751009
"69",2.36400792909603e-189,1.07324964267317,0.939,0.738,2.13446275918081e-185,"2","ARHGDIB",198.197775041679
"70",1.05602629774031e-166,1.08960680117822,0.904,0.689,9.53486144229723e-163,"2","UBB",176.538840976144
"71",2.14796488145822e-133,1.26880267658313,0.782,0.536,1.93939749146862e-129,"2","SNRPD2",163.310552835949
"72",1.77471106542542e-170,0.967748419013898,0.948,0.753,1.60238662097261e-166,"2","TMA7",160.448074315609
"73",4.4620341541734e-173,0.939235174307698,0.97,0.815,4.02877063780316e-169,"2","S100A4",158.16234511886
"74",1.3458929794208e-160,0.966828744923323,0.964,0.779,1.21520677111904e-156,"2","SH3BGRL3",150.743441980031
"75",6.77868033554757e-100,1.5568821770761,0.549,0.283,6.1204704749659e-96,"2","C12orf75",148.235757755707
"76",2.94645744552732e-155,2.3202839465708,0.389,0.075,2.66035642756662e-151,"3","LRRC75A",349.376894875285
"77",1.12167071955217e-181,1.76507237338678,0.543,0.123,1.01275649268365e-177,"3","MAL",312.408093302353
"78",1.81050648907793e-294,1.04946076758774,1,0.981,1.63470630898846e-290,"3","TPT1",304.119625968389
"79",9.89157260978606e-207,1.30851846036633,0.973,0.582,8.93110090937584e-203,"3","LDHB",264.384970712606
"80",1.52293962618998e-166,1.54013022278024,0.565,0.147,1.37506218848693e-162,"3","LEF1",249.288061674097
"81",6.03309649835812e-172,1.36370633995959,0.82,0.347,5.44728282836754e-168,"3","NOSIP",228.098731882327
"82",5.63729231373158e-183,1.24290316492911,0.985,0.665,5.08991123006825e-179,"3","KLF2",221.601294167917
"83",1.02306722337346e-143,1.57501235515418,0.76,0.331,9.23727395983899e-140,"3","H1FX",218.980986269097
"84",1.47294173345734e-248,0.863239638022377,1,0.991,1.32991909113863e-244,"3","EEF1A1",210.523580839015
"85",7.89043286545932e-140,1.15239353030656,0.829,0.394,7.12427183422322e-136,"3","LEPROTL1",155.742827507114
"86",4.68820413801486e-112,1.30035959019226,0.444,0.125,4.23297951621362e-108,"3","TRABD2A",139.623970387995
"87",1.87210494879967e-157,0.885073494278108,0.994,0.852,1.69032355827122e-153,"3","EEF1B2",135.214474557839
"88",6.18315042569706e-117,1.16908407872731,0.481,0.14,5.58276651936188e-113,"3","CCR7",131.233371077088
"89",1.12138918558968e-118,1.14432382987535,0.759,0.352,1.01250229566892e-114,"3","RGS10",130.446741815439
"90",7.51105208922735e-132,1.00846804359362,0.815,0.37,6.78172893136337e-128,"3","TCF7",128.245529326157
"91",5.74226150171458e-113,1.15302869331023,0.921,0.638,5.18468790989809e-109,"3","JUNB",124.85603188296
"92",5.88598115242175e-124,1.03172527277182,0.703,0.27,5.3144523825216e-120,"3","CD27",123.058558843053
"93",7.5806437143111e-91,1.40233306034619,0.359,0.099,6.84456320965149e-87,"3","BEX2",120.831543304112
"94",6.31965408765844e-167,0.742880429265383,0.998,0.896,5.7060156757468e-163,"3","NACA",120.527645015945
"95",4.64269981483826e-137,0.904426646876847,0.965,0.697,4.19189366281746e-133,"3","SARAF",119.725819612701
"96",1.90554272658715e-132,0.913432509424575,0.981,0.648,1.72051452783554e-128,"3","LTB",116.704103213721
"97",2.06550025788295e-105,1.15575120400886,0.604,0.239,1.86494018284252e-101,"3","UBALD2",116.418050313257
"98",3.84569722611125e-105,1.11983204278356,0.664,0.284,3.47228002545585e-101,"3","SELL",112.49763861022
"99",6.04863275475969e-124,0.939708815606387,0.924,0.6,5.46131051427253e-120,"3","EIF3E",112.072213504344
"100",1.34751751115437e-129,0.897176421101443,0.63,0.207,1.21667356082128e-125,"3","RCAN3",112.070636469823
"101",1.23984229841693e-90,2.01573134379915,0.333,0.06,1.11945361124065e-86,"4","TIAM1",173.25411243156
"102",1.31340215861863e-112,1.37787260007579,0.984,0.683,1.18587080901676e-108,"4","IL7R",148.708226732621
"103",4.56519957154458e-81,1.77208846593132,0.387,0.089,4.1219186931476e-77,"4","ELK3",135.360801287609
"104",3.20713374261264e-88,1.55099316940537,0.594,0.191,2.89572105620495e-84,"4","MDFIC",129.567244705038
"105",2.89334388277399e-100,1.35234797568878,0.946,0.53,2.61240019175663e-96,"4","AHNAK",129.261422862624
"106",1.29487930389038e-90,1.4814803355485,0.66,0.224,1.16914652348262e-86,"4","HIST1H1E",127.306762353313
"107",3.32558823318926e-77,1.55866206050153,0.596,0.208,3.00267361574658e-73,"4","HIST1H1D",113.038056614112
"108",9.05302002084421e-83,1.32957380386816,0.84,0.416,8.17397177682024e-79,"4","ITGB1",103.823183313048
"109",5.54369215934511e-90,1.13863132117334,0.7,0.237,5.0053996506727e-86,"4","RCAN3",97.1258907427033
"110",9.55534249683519e-81,1.17594202005473,0.596,0.191,8.62751874039249e-77,"4","INPP4B",89.4469879751112
"111",5.24981076792253e-80,1.13459448322487,0.69,0.265,4.74005414235725e-76,"4","PAG1",85.4624407183912
"112",1.79602770136736e-71,1.25511903086525,0.387,0.095,1.62163341156459e-67,"4","ANK3",83.8294594589184
"113",2.50773438333485e-58,1.31225662149892,0.514,0.186,2.26423337471304e-54,"4","GATA3",70.3961098824167
"114",5.54457439607177e-52,1.41711935916029,0.43,0.149,5.0061962222132e-48,"4","LPAR6",67.0304430978458
"115",1.54991993864803e-64,1.11183691378661,0.465,0.144,1.3994227126053e-60,"4","MAP3K1",66.5479434323871
"116",8.66751283743624e-70,1.00962365704528,0.643,0.25,7.82589734092118e-66,"4","CDC14A",65.7330281522188
"117",5.57850435090006e-71,0.942425996701569,0.955,0.563,5.03683157842766e-67,"4","ETS1",62.4808103639859
"118",5.15628008599627e-47,1.46601433832562,0.35,0.111,4.65560528964604e-43,"4","SOS1",62.0593539301066
"119",2.44085669276476e-63,0.996392328616038,0.634,0.244,2.20384950789731e-59,"4","TRAT1",58.4452035410402
"120",1.33383996434898e-63,0.956555454353182,0.805,0.4,1.2043241038107e-59,"4","EMB",56.3595362876554
"121",1.86516501000982e-54,1.0868297068939,0.566,0.226,1.68405748753787e-50,"4","GOLGB1",54.095473927682
"122",3.1837185756485e-59,0.967291042106881,0.627,0.253,2.87457950195303e-55,"4","BCL2",52.7574324797593
"123",1.15518376231152e-51,1.11660581616336,0.519,0.204,1.04301541899107e-47,"4","FKBP5",52.4600498256425
"124",6.20948199943638e-59,0.966039733069393,0.77,0.376,5.6065412972911e-55,"4","SLFN5",52.4089161762561
"125",2.89297599631669e-64,0.859699466586035,0.761,0.362,2.61206802707434e-60,"4","CYLD",51.2234866573412
"126",3.24839620227188e-188,4.07397749366128,0.382,0.022,2.93297693103128e-184,"5","ZBTB16",747.70805392278
"127",9.39560726397337e-209,3.66076734320245,0.667,0.078,8.48329379864156e-205,"5","TRGC1",747.058046729504
"128",1.49398647809567e-180,4.09031544982918,0.39,0.025,1.34892039107258e-176,"5","KLRC1",719.363834117916
"129",5.44651922884858e-191,3.05562461298866,0.695,0.092,4.91766221172739e-187,"5","TRDC",569.288047736437
"130",4.2253632649314e-136,3.0820852566911,0.92,0.308,3.81508049190656e-132,"5","DUSP2",405.043009886456
"131",3.14872250121164e-123,2.96496197233542,0.442,0.052,2.84298154634399e-119,"5","CEBPD",351.485051933162
"132",1.75272461885136e-104,2.53173643052191,0.799,0.254,1.5825350583609e-100,"5","KLRB1",252.668932939151
"133",7.66028439222005e-74,2.72355981983364,0.333,0.05,6.91647077773548e-70,"5","HSPA1B",188.361711584552
"134",4.93124325943342e-71,2.34799059742793,0.426,0.083,4.45241953894243e-67,"5","NCR3",155.792472530454
"135",6.2398991868647e-61,2.67295752221815,0.438,0.101,5.63400497582014e-57,"5","PMAIP1",150.351676213829
"136",1.49161073177824e-63,2.0606330352063,0.743,0.308,1.34677532972257e-59,"5","ZFP36",121.310919214911
"137",2.88343199191092e-63,1.93986737779865,0.835,0.369,2.60345074549637e-59,"5","DUSP1",113.646064631729
"138",6.20070198711086e-67,1.56963092736797,0.956,0.544,5.59861382416239e-63,"5","CXCR4",97.7125381161064
"139",2.61166780780024e-50,1.99598197052303,0.345,0.075,2.35807486366283e-46,"5","FOSL2",91.0715524136986
